data,category
"Sport pertains to any form of competitive physical activity or game that aims to use, maintain or improve physical ability and skills while providing enjoyment to participants and, in some cases, entertainment to spectators.",sports
" Sports can, through casual or organized participation, improve one's physical health.",sports
" Hundreds of sports exist, from those between single contestants, through to those with hundreds of simultaneous participants, either in teams or competing as individuals.",sports
" In certain sports such as racing, many contestants may compete, simultaneously or consecutively, with one winner; in others, the contest (a match) is between two sides, each attempting to exceed the other.",sports
" Some sports allow a ""tie"" or ""draw"", in which there is no single winner; others provide tie-breaking methods to ensure one winner and one loser.",sports
 A number of contests may be arranged in a tournament producing a champion.,sports
" Many sports leagues make an annual champion by arranging games in a regular sports season, followed in some cases by playoffs.",sports
"Sport is generally recognised as system of activities based in physical athleticism or physical dexterity, with major competitions such as the Olympic Games admitting only sports meeting this definition.",sports
" Other organisations, such as the Council of Europe, preclude activities without a physical element from classification as sports.",sports
" However, a number of competitive, but non-physical, activities claim recognition as mind sports.",sports
" The International Olympic Committee (through ARISF) recognises both chess and bridge as bona fide sports, and SportAccord, the international sports federation association, recognises five non-physical sports: bridge, chess, draughts (checkers), Go and xiangqi, and limits the number of mind games which can be admitted as sports.",sports
"Sport is usually governed by a set of rules or customs, which serve to ensure fair competition, and allow consistent adjudication of the winner.",sports
 Winning can be determined by physical events such as scoring goals or crossing a line first.,sports
" It can also be determined by judges who are scoring elements of the sporting performance, including objective or subjective measures such as technical performance or artistic impression.",sports
"Records of performance are often kept, and for popular sports, this information may be widely announced or reported in sport news.",sports
" Sport is also a major source of entertainment for non-participants, with spectator sport drawing large crowds to sport venues, and reaching wider audiences through broadcasting.",sports
" Sport betting is in some cases severely regulated, and in some cases is central to the sport.",sports
" Kearney, a consultancy, the global sporting industry is worth up to $620 billion as of 2013.",sports
" The world's most accessible and practised sport is running, while association football is the most popular spectator sport.",sports
"The word ""sport"" comes from the Old French desport meaning ""leisure"", with the oldest definition in English from around 1300 being ""anything humans find amusing or entertaining"".",sports
"Other meanings include gambling and events staged for the purpose of gambling; hunting; and games and diversions, including ones that require exercise.",sports
" Roget's defines the noun sport as an ""activity engaged in for relaxation and amusement"" with synonyms including diversion and recreation.",sports
"The singular term ""sport"" is used in most English dialects to describe the overall concept (e.",sports
" ""children taking part in sport""), with ""sports"" used to describe multiple activities (e.",sports
" ""football and rugby are the most popular sports in England"").",sports
The precise definition of what separates a sport from other leisure activities varies between sources.,sports
" The closest to an international agreement on a definition is provided by SportAccord, which is the association for all the largest international sports federations (including association football, athletics, cycling, tennis, equestrian sports, and more), and is therefore the de facto representative of international sport.",sports
"SportAccord uses the following criteria, determining that a sport should:
",sports
"not rely on equipment provided by a single supplier (excluding proprietary games such as arena football)
",sports
"not rely on any ""luck"" element specifically designed into the sport.",sports
"They also recognise that sport can be primarily physical (such as rugby or athletics), primarily mind (such as chess or Go), predominantly motorised (such as Formula 1 or powerboating), primarily co-ordination (such as billiard sports), or primarily animal-supported (such as equestrian sport).",sports
"The inclusion of mind sports within sport definitions has not been universally accepted, leading to legal challenges from governing bodies in regards to being denied funding available to sports.",sports
" Whilst SportAccord recognises a small number of mind sports, it is not open to admitting any further mind sports.",sports
"There has been an increase in the application of the term ""sport"" to a wider set of non-physical challenges such as video games, also called esports (from ""electronic sports""), especially due to the large scale of participation and organised competition, but these are not widely recognised by mainstream sports organisations.",sports
" According to Council of Europe, European Sports Charter, article 2.",sports
"i, ""'Sport' means all forms of physical activity which, through casual or organised participation, aim at expressing or improving physical fitness and mental well-being, forming social relationships or obtaining results in competition at all levels.",sports
"There are opposing views on the necessity of competition as a defining element of a sport, with almost all professional sports involving competition, and governing bodies requiring competition as a prerequisite of recognition by the International Olympic Committee (IOC) or SportAccord.",sports
Other bodies advocate widening the definition of sport to include all physical activity.,sports
" For instance, the Council of Europe include all forms of physical exercise, including those competed just for fun.",sports
"In order to widen participation, and reduce the impact of losing on less able participants, there has been an introduction of non-competitive physical activity to traditionally competitive events such as school sports days, although moves like this are often controversial.",sports
"In competitive events, participants are graded or classified based on their ""result"" and often divided into groups of comparable performance, (e.",sports
" The measurement of the result may be objective or subjective, and corrected with ""handicaps"" or penalties.",sports
" In a race, for example, the time to complete the course is an objective measurement.",sports
" In gymnastics or diving the result is decided by a panel of judges, and therefore subjective.",sports
" There are many shades of judging between boxing and mixed martial arts, where victory is assigned by judges if neither competitor has lost at the end of the match time.",sports
Artifacts and structures suggest sport in China as early as 2000 BC.,sports
 Gymnastics appears to have been popular in China's ancient past.,sports
" Monuments to the Pharaohs indicate that a number of sports, including swimming and fishing, were well-developed and regulated several thousands of years ago in ancient Egypt.",sports
" Other Egyptian sports included javelin throwing, high jump, and wrestling.",sports
 Ancient Persian sports such as the traditional Iranian martial art of Zoorkhaneh had a close connection to warfare skills.,sports
 Among other sports that originated in ancient Persia are polo and jousting.,sports
A wide range of sports were already established by the time of Ancient Greece and the military culture and the development of sport in Greece influenced one another considerably.,sports
" Sport became such a prominent part of their culture that the Greeks created the Olympic Games, which in ancient times were held every four years in a small village in the Peloponnesus called Olympia.",sports
Sports have been increasingly organised and regulated from the time of the ancient Olympics up to the present century.,sports
" Industrialisation has brought increased leisure time, letting people attend and follow spectator sports and participate in athletic activities.",sports
 These trends continued with the advent of mass media and global communication.,sports
" Professionalism became prevalent, further adding to the increase in sport's popularity, as sports fans followed the exploits of professional athletes – all while enjoying the exercise and competition associated with amateur participation in sports.",sports
" Since the turn of the 21st century, there has been increasing debate about whether transgender sports persons should be able to participate in sport events that conform with their post-transition gender identity.",sports
"Sportsmanship is an attitude that strives for fair play, courtesy toward teammates and opponents, ethical behaviour and integrity, and grace in victory or defeat.",sports
Sportsmanship expresses an aspiration or ethos that the activity will be enjoyed for its own sake.,sports
" The well-known sentiment by sports journalist Grantland Rice, that it's ""not that you won or lost but how you played the game"", and the modern Olympic creed expressed by its founder Pierre de Coubertin: ""The most important thing.",sports
" is not winning but taking part"" are typical expressions of this sentiment.",sports
"Key principles of sport include that the result should not be predetermined, and that both sides should have equal opportunity to win.",sports
" Rules are in place to ensure fair play, but participants can break these rules in order to gain advantage.",sports
"Participants may cheat in order to unfairly increase their chance of winning, or in order to achieve other advantages such as financial gains.",sports
" The widespread existence of gambling on the results of sports fixtures creates a motivation for match fixing, where a participant or participants deliberately work to ensure a given outcome rather than simply playing to win.",sports
"The competitive nature of sport encourages some participants to attempt to enhance their performance through the use of medicines, or through other means such as increasing the volume of blood in their bodies through artificial means.",sports
"All sports recognised by the IOC or SportAccord are required to implement a testing programme, looking for a list of banned drugs, with suspensions or bans being placed on participants who test positive for banned substances.",sports
Violence in sports involves crossing the line between fair competition and intentional aggressive violence.,sports
" Athletes, coaches, fans, and parents sometimes unleash violent behaviour on people or property, in misguided shows of loyalty, dominance, anger, or celebration.",sports
 Rioting or hooliganism by fans in particular is a problem at some national and international sporting contests.,sports
Female participation in sports continues to rise alongside the opportunity for involvement and the value of sports for child development and physical fitness.,sports
" Despite increases in female participation during the last three decades, a gap persists in the enrolment figures between male and female players in sports-related teams.",sports
 Female players account for 39% of the total participation in US interscholastic athletics.,sports
"Youth sport presents children with opportunities for fun, socialisation, forming peer relationships, physical fitness, and athletic scholarships.",sports
 Activists for education and the war on drugs encourage youth sport as a means to increase educational participation and to fight the illegal drug trade.,sports
" According to the Center for Injury Research and Policy at Nationwide Children's Hospital, the biggest risk for youth sport is death or serious injury including concussion.",sports
" These risks come from running, basketball, association football, volleyball, gridiron, gymnastics, and ice hockey.",sports
 Youth sport in the US is a $15 billion industry including equipment up to private coaching.,sports
"Disabled sports also adaptive sports or parasports, are sports played by persons with a disability, including physical and intellectual disabilities.",sports
" As many of these are based on existing sports modified to meet the needs of persons with a disability, they are sometimes referred to as adapted sports.",sports
" However, not all disabled sports are adapted; several sports that have been specifically created for persons with a disability have no equivalent in able-bodied sports.",sports
"The competition element of sport, along with the aesthetic appeal of some sports, result in the popularity of people attending to watch sport being played.",sports
 This has led to the specific phenomenon of spectator sport.,sports
"Both amateur and professional sports attract spectators, both in person at the sport venue, and through broadcast media including radio, television and internet broadcast.",sports
" Both attendance in person and viewing remotely can incur a sometimes substantial charge, such as an entrance ticket, or pay-per-view television broadcast.",sports
"It is common for popular sports to attract large broadcast audiences, leading to rival broadcasters bidding large amounts of money for the rights to show certain fixtures.",sports
 The football World Cup attracts a global television audience of hundreds of millions; the 2006 final alone attracted an estimated worldwide audience of well over 700 million and the 2011 Cricket World Cup Final  attracted an estimated audience of 135 million in India alone.,sports
"In the United States, the championship game of the NFL, the Super Bowl, has become one of the most watched television broadcasts of the year.",sports
"Super Bowl Sunday is a de facto national holiday in America; the viewership being so great that in 2015, advertising space was reported as being sold at $4.",sports
"Sport can be undertaken on an amateur, professional or semi-professional basis, depending on whether participants are incentivised for participation (usually through payment of a wage or salary).",sports
" Amateur participation in sport at lower levels is often called ""grassroots sport"".",sports
"The popularity of spectator sport as a recreation for non-participants has led to sport becoming a major business in its own right, and this has incentivised a high paying professional sport culture, where high performing participants are rewarded with pay far in excess of average wages, which can run into millions of dollars.",sports
"Some sports, or individual competitions within a sport, retain a policy of allowing only amateur sport.",sports
 The Olympic Games started with a principle of amateur competition with those who practised a sport professionally considered to have an unfair advantage over those who practised it merely as a hobby.,sports
" From 1971, Olympic athletes were allowed to receive compensation and sponsorship, and from 1986, the IOC decided to make all professional athletes eligible for the Olympics, with the exceptions of boxing, and wrestling.",sports
" With it being a necessary part of some sports (such as motorsport), it is used in others to improve performance.",sports
 Some sports also use it to allow off-field decision making.,sports
"Sports science is a widespread academic discipline, and can be applied to areas including athlete performance, such as the use of video analysis to fine-tune technique, or to equipment, such as improved running shoes or competitive swimwear.",sports
" Sports engineering emerged as a discipline in 1998 with an increasing focus not just on materials design but also the use of technology in sport, from analytics and big data to wearable technology.",sports
" In order to control the impact of technology on fair play, governing bodies frequently have specific rules that are set to control the impact of technical advantage between participants.",sports
" For example, in 2010, full-body, non-textile swimsuits were banned by FINA, as they were enhancing swimmers' performances.",sports
"The increase in technology has also allowed many decisions in sports matches to be taken, or reviewed, off-field, with another official using instant replays to make decisions.",sports
" In some sports, players can now challenge decisions made by officials.",sports
" In Association football, goal-line technology makes decisions on whether a ball has crossed the goal line or not.",sports
" The technology is not compulsory, but was used in the 2014 FIFA World Cup in Brazil, and the 2015 FIFA Women's World Cup in Canada, as well as in the Premier League from 2013–14, and the Bundesliga from 2015–16.",sports
" In the NFL, a referee can ask for a review from the replay booth, or a head coach can issue a challenge to review the play using replays.",sports
 A video referee (commonly known as a Television Match Official or TMO) can also use replays to help decision-making in rugby (both league and union).,sports
" In international cricket, an umpire can ask the Third umpire for a decision, and the third umpire makes the final decision.",sports
" Since 2008, a decision review system for players to review decisions has been introduced and used in ICC-run tournaments, and optionally in other matches.",sports
" Depending on the host broadcaster, a number of different technologies are used during an umpire or player review, including instant replays, Hawk-Eye, Hot Spot and Real Time Snickometer.",sports
 Hawk-Eye is also used in tennis to challenge umpiring decisions.,sports
"Research suggests that sports have the capacity to connect youth to positive adult role models and provide positive development opportunities, as well as promote the learning and application of life skills.",sports
" In recent years the use of sport to reduce crime, as well as to prevent violent extremism and radicalization, has become more widespread, especially as a tool to improve self-esteem, enhance social bonds and provide participants with a feeling of purpose.",sports
"There is no high-quality evidence that shows the effectiveness of interventions to increase sports participation of the community in sports such as mass media campaigns, educational sessions, and policy changes.",sports
 There is also no high-quality studies that investigate the effect of such interventions in promoting healthy behavior change in the community.,sports
"Benito Mussolini used the 1934 FIFA World Cup, which was held in Italy, to showcase Fascist Italy.",sports
" Adolf Hitler also used the 1936 Summer Olympics held in Berlin, and the 1936 Winter Olympics held in Garmisch-Partenkirchen, to promote the Nazi ideology of the superiority of the Aryan race, and inferiority of the Jews and other ""undesirables"".",sports
 Germany used the Olympics to give off a peaceful image while secretly preparing for war.,sports
"When apartheid was the official policy in South Africa, many sports people, particularly in rugby union, adopted the conscientious approach that they should not appear in competitive sports there.",sports
" Some feel this was an effective contribution to the eventual demolition of the policy of apartheid, others feel that it may have prolonged and reinforced its worst effects.",sports
"In the history of Ireland, Gaelic sports were connected with cultural nationalism.",sports
" Until the mid-20th century a person could have been banned from playing Gaelic football, hurling, or other sports administered by the Gaelic Athletic Association (GAA) if she/he played or supported Association football, or other games seen to be of British origin.",sports
 Until recently the GAA continued to ban the playing of football and rugby union at Gaelic venues.,sports
" This ban, also known as Rule 42, is still enforced, but was modified to allow football and rugby to be played in Croke Park while Lansdowne Road was redeveloped into Aviva Stadium.",sports
" Until recently, under Rule 21, the GAA also banned members of the British security forces and members of the RUC from playing Gaelic games, but the advent of the Good Friday Agreement in 1998 led to the eventual removal of the ban.",sports
"Nationalism is often evident in the pursuit of sport, or in its reporting: people compete in national teams, or commentators and audiences can adopt a partisan view.",sports
" On occasion, such tensions can lead to violent confrontation among players or spectators within and beyond the sporting venue, as in the Football War.",sports
 These trends are seen by many as contrary to the fundamental ethos of sport being carried on for its own sake and for the enjoyment of its participants.,sports
 Masked men entered the hotel of the Israeli Olympic team and killed many of their men.,sports
A study of US elections has shown that the result of sports events can affect the results.,sports
" A study published in the Proceedings of the National Academy of Sciences showed that when the home team wins the game before the election, the incumbent candidates can increase their share of the vote by 1.",sports
" A loss had the opposite effect, and the effect is greater for higher-profile teams or unexpected wins and losses.",sports
" Also, when Washington Redskins win their final game before an election, then the incumbent President is more likely to win, and if the Redskins lose, then the opposition candidate is more likely to win; this has become known as the Redskins Rule.",sports
"Étienne de La Boétie, in his essay Discourse on Voluntary Servitude describes athletic spectacles as means for tyrants to control their subjects by distracting them.",sports
"Do not imagine that there is any bird more easily caught by decoy, nor any fish sooner fixed on the hook by wormy bait, than are all these poor fools neatly tricked into servitude by the slightest feather passed, so to speak, before their mouths.",sports
 Truly it is a marvellous thing that they let themselves be caught so quickly at the slightest tickling of their fancy.,sports
" Plays, farces, spectacles, gladiators, strange beasts, medals, pictures, and other such opiates, these were for ancient peoples the bait toward slavery, the price of their liberty, the instruments of tyranny.",sports
" By these practices and enticements the ancient dictators so successfully lulled their subjects under the yoke, that the stupefied peoples, fascinated by the pastimes and vain pleasures flashed before their eyes, learned subservience as naïvely, but not so creditably, as little children learn to read by looking at bright picture books.",sports
Sport was an important form of worship in Ancient Greek religion.,sports
" The ancient Olympic Games, called the Olympiad, were held in honour of the head deity, Zeus, and featured various forms of religious dedication to him and other gods.",sports
" As many Greeks travelled to see the games, this combination of religion and sport also served as a way of uniting them.",sports
"The practice of athletic competitions has been criticised by some Christian thinkers as a form of idolatry, in which ""human beings extol themselves, adore themselves, sacrifice themselves and reward themselves.",sports
""" Sports are seen by these critics as a manifestation of ""collective pride"" and ""national self-deification"" in which feats of human power are idolized at the expense of divine worship.",sports
"Tertullian condemns the athletic performances of his day, insisting ""the entire apparatus of the shows is based upon idolatry.",sports
""" The shows, says Tertullian, excite passions foreign to the calm temperament cultivated by the Christian:
",sports
"God has enjoined us to deal calmly, gently, quietly, and peacefully with the Holy Spirit, because these things are alone in keeping with the goodness of His nature, with His tenderness and sensitiveness.",sports
" Well, how shall this be made to accord with the shows? For the show always leads to spiritual agitation, since where there is pleasure, there is keenness of feeling giving pleasure its zest; and where there is keenness of feeling, there is rivalry giving in turn its zest to that.",sports
" Then, too, where you have rivalry, you have rage, bitterness, wrath and grief, with all bad things which flow from them – the whole entirely out of keeping with the religion of Christ.",sports
" Text taken from Strengthening the rule of law through education: a guide for policymakers,  UNESCO, UNESCO.",sports
" To learn how to add open license text to Wikipedia articles, please see this how-to page.",sports
" For information on reusing text from Wikipedia, please see the terms of use.",sports
"The Meaning of Sports by Michael Mandel (PublicAffairs, ISBN 1-58648-252-1).",sports
"Cricket is a bat-and-ball game played between two teams of eleven players on a field at the centre of which is a 22-yard (20-metre) pitch with a wicket at each end, each comprising two bails balanced on three stumps.",sports
" The batting side scores runs by striking the ball bowled at the wicket with the bat (and running between the wickets), while the bowling and fielding side tries to prevent this (by preventing the ball from leaving the field, and getting the ball to either wicket) and dismiss each batter (so they are ""out"").",sports
" Means of dismissal include being bowled, when the ball hits the stumps and dislodges the bails, and by the fielding side either catching the ball after it is hit by the bat and before it hits the ground, or hitting a wicket with the ball before a batter can cross the crease in front of the wicket.",sports
" When ten batters have been dismissed, the innings ends and the teams swap roles.",sports
" The game is adjudicated by two umpires, aided by a third umpire and match referee in international matches.",sports
"Forms of cricket range from Twenty20, with each team batting for a single innings of 20 overs, to Test matches played over five days.",sports
" Traditionally cricketers play in all-white kit, but in limited overs cricket they wear club or team colours.",sports
" In addition to the basic kit, some players wear protective gear to prevent injury caused by the ball, which is a hard, solid spheroid made of compressed leather with a slightly raised sewn seam enclosing a cork core layered with tightly wound string.",sports
The earliest reference to cricket is in South East England in the mid-16th century.,sports
" It spread globally with the expansion of the British Empire, with the first international matches in the second half of the 19th century.",sports
" The game's governing body is the International Cricket Council (ICC), which has over 100 members, twelve of which are full members who play Test matches.",sports
" The game's rules, the Laws of Cricket, are maintained by Marylebone Cricket Club (MCC) in London.",sports
" The sport is followed primarily in the Indian subcontinent, Australasia, the United Kingdom, southern Africa and the West Indies.",sports
" Women's cricket, which is organised and played separately, has also achieved international standard.",sports
" The most successful side playing international cricket is Australia, which has won seven One Day International trophies, including five World Cups, more than any other country and has been the top-rated Test side more than any other country.",sports
"Cricket is one of many games in the ""club ball"" sphere that basically involve hitting a ball with a hand-held implement; others include baseball (which shares many similarities with cricket, both belonging in the more specific bat-and-ball games category), golf, hockey, tennis, squash, badminton and table tennis.",sports
" In cricket's case, a key difference is the existence of a solid target structure, the wicket (originally, it is thought, a ""wicket gate"" through which sheep were herded), that the batsman must defend.",sports
" The cricket historian Harry Altham identified three ""groups"" of ""club ball"" games: the ""hockey group"", in which the ball is driven to and fro between two targets (the goals); the ""golf group"", in which the ball is driven towards an undefended target (the hole); and the ""cricket group"", in which ""the ball is aimed at a mark (the wicket) and driven away from it"".",sports
"It is generally believed that cricket originated as a children's game in the south-eastern counties of England, sometime during the medieval period.",sports
" Although there are claims for prior dates, the earliest definite reference to cricket being played comes from evidence given at a court case in Guildford on Monday, 17 January 1597 (Julian calendar; equating to 30 January 1598 in the Gregorian calendar).",sports
" The case concerned ownership of a certain plot of land and the court heard the testimony of a 59-year-old coroner, John Derrick, who gave witness that:
",sports
Being a scholler in the ffree schoole of Guldeford hee and diverse of his fellows did runne and play there at creckett and other plaies.,sports
"Given Derrick's age, it was about half a century earlier when he was at school and so it is certain that cricket was being played c.",sports
" The view that it was originally a children's game is reinforced by Randle Cotgrave's 1611 English-French dictionary in which he defined the noun ""crosse"" as ""the crooked staff wherewith boys play at cricket"" and the verb form ""crosser"" as ""to play at cricket"".",sports
"One possible source for the sport's name is the Old English word ""cryce"" (or ""cricc"") meaning a crutch or staff.",sports
" In Samuel Johnson's Dictionary, he derived cricket from ""cryce, Saxon, a stick"".",sports
" In Old French, the word ""criquet"" seems to have meant a kind of club or stick.",sports
" Given the strong medieval trade connections between south-east England and the County of Flanders when the latter belonged to the Duchy of Burgundy, the name may have been derived from the Middle Dutch (in use in Flanders at the time) ""krick""(-e), meaning a stick (crook).",sports
" Another possible source is the Middle Dutch word ""krickstoel"", meaning a long low stool used for kneeling in church and which resembled the long low wicket with two stumps used in early cricket.",sports
" According to Heiner Gillmeister, a European language expert of Bonn University, ""cricket"" derives from the Middle Dutch phrase for hockey, met de (krik ket)sen (i.",sports
 Gillmeister has suggested that not only the name but also the sport itself may be of Flemish origin.,sports
"=== Growth of amateur and professional cricket in England ===
",sports
"Although the main object of the game has always been to score the most runs, the early form of cricket differed from the modern game in certain key technical aspects; the North American variant of cricket known as wicket retained many of these aspects.",sports
" The ball was bowled underarm by the bowler and along the ground towards a batsman armed with a bat that, in shape, resembled a hockey stick; the batsman defended a low, two-stump wicket; and runs were called notches because the scorers recorded them by notching tally sticks.",sports
"In 1611, the year Cotgrave's dictionary was published, ecclesiastical court records at Sidlesham in Sussex state that two parishioners, Bartholomew Wyatt and Richard Latter, failed to attend church on Easter Sunday because they were playing cricket.",sports
" This is the earliest mention of adult participation in cricket and it was around the same time that the earliest known organised inter-parish or village match was played – at Chevening, Kent.",sports
" In 1624, a player called Jasper Vinall died after he was accidentally struck on the head during a match between two parish teams in Sussex.",sports
Cricket remained a low-key local pursuit for much of the 17th century.,sports
" It is known, through numerous references found in the records of ecclesiastical court cases, to have been proscribed at times by the Puritans before and during the Commonwealth.",sports
